"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
46;"Which expression best matches the following characteristics of the review processes:

1. led by the author
2. undocumented
3. no management participation
4. led by a moderator or leader
5. uses entry and exit criteria

s) inspection
t) peer review
u) informal review
v) walkthrough
";"a) s = 4 and 5, t = 3, u = 2, v = 1 ";"b) s = 4, t = 3, u = 2 and 5, v = 1";"c) s = 1 and 5, t = 3, u = 2, v = 4";"d) s = 4 and 5, t = 1, u= 2, v = 3";1;
47;"Which of the following is NOT part of system testing?";"a) business process-based testing";"b) performance, load and stress testing";"c) usability testing";"d) top-down integration testing";4;
48;"Which statement about expected outcomes is FALSE?";"a) expected outcomes are defined by the software's behaviour";"b) expected outcomes are derived from a specification, not from the code";"c) expected outcomes should be predicted before a test is run";"d) expected outcomes may include timing constraints such as response times";1;
49;"The standard that gives definitions of testing terms is:";"a) ISO/IEC 12207";"b) BS 7925-1";"c) ANSI/IEEE 829";"d) ANSI/IEEE 729";2;
50;"The cost of fixing a fault:";"a) is not important";"b) increases the later a fault is found ";"c) decreases the later a fault is found";"d) can never be determined";2;
51;"Which of the following is NOT included in the Test Plan document of the Test Documentation Standard?";"a) what is not to be tested";"b) test environment properties";"c) quality plans";"d) schedules and deadlines";3;
52;"Could reviews or inspections be considered part of testing?";"a) no, because they apply to development documentation";"b) no, because they are normally applied before testing";"c) yes, because both help detect faults and improve quality";"d) yes, because testing includes all non-constructive activities";3;
53;"Which of the following is not part of performance testing?";"a) measuring response times";"b) recovery testing";"c) simulating many users";"d) generating many transactions";2;
54;"Error guessing is best used:";"a) after more formal techniques have been applied ";"b) as the first approach to deriving test cases";"c) by inexperienced testers";"d) after the system has gone live";1;
55;"We split testing into distinct stages primarily because:";"a) Each test stage has a different purpose.";"b) It is easier to manage testing in stages.";"c) We can run different tests in different environments.";"d) The more stages we have, the better the testing.";1;
56;"Which of the following is likely to benefit most from the use of test tools providing test capture and replay facilities?";"a) Regression testing";"b) Integration testing";"c) System testing";"d) User acceptance testing";1;
57;"Which of the following statements is NOT correct?";"a) A minimal test set that achieves 100% LCSAJ coverage will also achieve 100% branch coverage.";"b) A minimal test set that achieves 100% path coverage will also achieve 100% statement coverage.";"c) A minimal test set that achieves 100% path coverage will generally detect more faults than one that achieves 100% statement coverage.";"d) A minimal test set that achieves 100% statement coverage will generally detect more faults than one that achieves 100% branch coverage. ";4;
58;"Which of the following requirements is testable?";"a) The system shall be user friendly.";"b) The safety-critical parts of the system shall contain 0 faults.";"c) The response time shall be less than one second for the specified design load. ";"d) The system shall be built to be portable.";3;
59;"Analyse the following highly simplified procedure:
Ask: ﾓWhat type of ticket do you require, single or return?ﾔ
IF the customer wants ﾑreturnﾒ
         Ask: ﾓWhat rate, Standard or Cheap-day?ﾔ
         IF the customer replies ﾑCheap-dayﾒ
                   Say: ﾓThat will be ﾣ11:20ﾔ
         ELSE
                   Say: ﾓThat will be ﾣ19:50ﾔ
         ENDIF
  ELSE
         Say: ﾓThat will be ﾣ9:75ﾔ
  ENDIF

Now decide the minimum number of tests that are needed to ensure that all
the questions have been asked, all combinations have occurred and all
replies given.";"a) 3 ";"b) 4";"c) 5";"d) 6";1;
60;"Error guessing:";"a) supplements formal test design techniques.";"b) can only be used in component, integration and system testing.";"c) is only performed in user acceptance testing.";"d) is not repeatable and should not be used.";1;
61;"Which of the following is NOT true of test coverage criteria?";"a) Test coverage criteria can be measured in terms of items exercised by a test suite.";"b) A measure of test coverage criteria is the percentage of user requirements covered.";"c) A measure of test coverage criteria is the percentage of faults found.";"d) Test coverage criteria are often used when specifying test completion criteria.";3;
62;"In prioritising what to test, the most important objective is to:";"a) find as many faults as possible.";"b) test high risk areas.";"c) obtain good test coverage.";"d) test whatever is easiest to test.";2;
63;"Given the following sets of test management terms (v-z), and activity descriptions (1-5), which one of the following best pairs the two sets?
v  ﾖ test control
w ﾖ test monitoring
x  -  test estimation
y -  incident management
z -   configuration control

1 -   calculation of required test resources
2 -   maintenance of record of test results
3 -   re-allocation of resources when tests overrun
4 -   report on deviation from test plan
5 -   tracking of anomalous test results";"a) v-3,w-2,x-1,y-5,z-4";"b) v-2,w-5,x-1,y-4,z-3";"c) v-3,w-4,x-1,y-5,z-2 ";"d) v-2,w-1,x-4,y-3,z-5";3;
64;"Which one of the following statements about system testing is NOT true?";"a) System tests are often performed by independent teams.";"b) Functional testing is used more than structural testing.";"c) Faults found during system tests can be very expensive to fix.";"d) End-users should be involved in system tests.";4;
65;"Which of the following is false?";"a) Incidents should always be fixed.";"b) An incident occurs when expected and actual results differ.";"c) Incidents can be analysed to assist in test process improvement.";"d) An incident can be raised against documentation.";1;
66;"Enough testing has been performed when:";"a) time runs out.";"b) the required level of confidence has been achieved.";"c) no more faults are found.";"d) the users wonﾒt find any serious faults.";2;
67;"Which of the following is NOT true of incidents?";"a) Incident resolution is the responsibility of the author of the software under test.";"b) Incidents may be raised against user requirements.";"c) Incidents require investigation and/or correction.";"d) Incidents are raised when expected and actual results differ.";1;
68;"Which of the following is not described in a unit test standard?";"a) syntax testing";"b) equivalence partitioning";"c) stress testing ";"d) modified condition/decision coverage";3;
69;"Which of the following is false?";"a) In a system two different failures may have different severities.";"b) A system is necessarily more reliable after debugging for the removal of a fault.";"c) A fault need not affect the reliability of a system.";"d) Undetected errors may lead to faults and eventually to incorrect behaviour.";2;
70;"Which one of the following statements, about capture-replay tools, is NOT correct?";"a) They are used to support multi-user testing.";"b) They are used to capture and animate user requirements.";"c) They are the most frequently purchased types of CAST tool.";"d) They capture aspects of user behaviour.";2;
71;"How would you estimate the amount of re-testing likely to be required?";"a) Metrics from previous similar projects";"b) Discussions with the development team";"c) Time allocated for regression testing";"d) a & b ";4;
72;"Which of the following is true of the V-model?";"a) It states that modules are tested against user requirements.";"b) It only models the testing phase.";"c) It specifies the test techniques to be used.";"d) It includes the verification of designs. ";4;
73;"The oracle assumption:";"a) is that there is some existing system against which test output may be checked.";"b) is that the tester can routinely identify the correct outcome of a test.";"c) is that the tester knows everything about the software under test.";"d) is that the tests are reviewed by experienced testers.";2;
74;"Which of the following characterises the cost of faults?";"a) They are cheapest to find in the early development phases and the most expensive to fix in the latest test phases.";"b) They are easiest to find during system testing but the most expensive to fix then.";"c) Faults are cheapest to find in the early development phases but the most expensive to fix then.";"d) Although faults are most expensive to find during early development phases, they are cheapest to fix then.";1;
75;"Which of the following should NOT normally be an objective for a test?";"a) To find faults in the software.";"b) To assess whether the software is ready for release.";"c) To demonstrate that the software doesnﾒt work.";"d) To prove that the software is correct.";4;
76;"Which of the following is a form of functional testing?";"a) Boundary value analysis";"b) Usability testing";"c) Performance testing";"d) Security testing";1;
77;"Which of the following would NOT normally form part of a test plan?";"a) Features to be tested";"b) Incident reports";"c) Risks";"d) Schedule";2;
78;"Which of these activities provides the biggest potential cost saving from the use of CAST?";"a) Test management";"b) Test design";"c) Test execution";"d) Test planning";3;
79;"Which of the following is NOT a white box technique?";"a) Statement testing";"b) Path testing";"c) Data flow testing";"d) State transition testing";4;
80;"Data flow analysis studies:";"a) possible communications bottlenecks in a program.";"b) the rate of change of data values as a program executes.";"c) the use of data on paths through the code.";"d) the intrinsic complexity of the code.";3;
81;"In a system designed to work out the tax to be paid:
An employee has ﾣ4000 of salary tax free. The next ﾣ1500 is taxed at 10%
The next ﾣ28000 is taxed at 22%
Any further amount is taxed at 40%
To the nearest whole pound, which of these is a valid Boundary Value Analysis test case?
";"a) ﾣ1500";"b) ﾣ32001";"c) ﾣ33501 ";"d) ﾣ28000";3;
82;"An important benefit of code inspections is that they:";"a) enable the code to be tested before the execution environment is ready.";"b) can be performed by the person who wrote the code.";"c) can be performed by inexperienced staff.";"d) are cheap to perform.";1;
83;"Which of the following is the best source of Expected Outcomes for User Acceptance Test scripts?";"a) Actual results";"b) Program specification";"c) User requirements";"d) System specification";3;
84;"What is the main difference between a walkthrough and an inspection?";"a) An inspection is lead by the author, whilst a walkthrough is lead by a trained moderator.";"b) An inspection has a trained leader, whilst a walkthrough has no leader.";"c) Authors are not present during inspections, whilst they are during walkthroughs.";"d) A walkthrough is lead by the author, whilst an inspection is lead by a trained moderator.";4;
85;"Which one of the following describes the major benefit of verification early in the life cycle?";"a) It allows the identification of changes in user requirements.";"b) It facilitates timely set up of the test environment.";"c) It reduces defect multiplication.";"d) It allows testers to become involved early in the project.";3;
86;"Integration testing in the small:";"a) tests the individual components that have been developed.";"b) tests interactions between modules or subsystems.";"c) only uses components that form part of the live system.";"d) tests interfaces to other systems.";2;
87;"Static analysis is best described as:";"a) the analysis of batch programs.";"b) the reviewing of test plans.";"c) the analysis of program code.";"d) the use of black box testing.";3;
88;"Alpha testing is:";"a) post-release testing by end user representatives at the developerﾒs site.";"b) the first testing that is performed.";"c) pre-release testing by end user representatives at the developerﾒs site.";"d) pre-release testing by end user representatives at their sites.";3;
89;"A failure is:";"a) found in the software; the result of an error.";"b) departure from specified behaviour.";"c) an incorrect step, process or data definition in a computer program.";"d) a human action that produces an incorrect result.";2;
90;"In a system designed to work out the tax to be paid:
An employee has ﾣ4000 of salary tax free. The next ﾣ1500 is taxed at 10%
The next ﾣ28000 is taxed at 22%
Any further amount is taxed at 40%
Which of these groups of numbers would fall into the same equivalence class?
";"a) ﾣ4800; ﾣ14000; ﾣ28000";"b) ﾣ5200; ﾣ5500; ﾣ28000";"c) ﾣ28001; ﾣ32000; ﾣ35000";"d) ﾣ5800; ﾣ28000; ﾣ32000 ";4;
91;"The most important thing about early test design is that it:";"a) makes test preparation easier.";"b) means inspections are not required.";"c) can prevent fault multiplication.";"d) will find all faults.";3;
92;"Which of the following statements about reviews is true?";"a) Reviews cannot be performed on user requirements specifications.";"b) Reviews are the least effective way of testing code.";"c) Reviews are unlikely to find faults in test plans.";"d) Reviews should be performed on specifications, code, and test plans.";4;
93;"Test cases are designed during:";"a) test recording.";"b) test planning.";"c) test configuration.";"d) test specification.";4;
94;"A configuration management system would NOT normally provide:";"a) linkage of customer requirements to version numbers.";"b) facilities to compare test results with expected results. ";"c) the precise differences in versions of software component source code.";"d) restricted access to the source code library.";2;
95;"Software testing activities should start";"a) as soon as the code is written";"b) during the design  stage";"c) when the requirements have been formally documented";"d) as soon as possible in the development life cycle";4;
96;"Faults found by users are due to:";"a) Poor quality software";"b) Poor software and poor testing";"c) bad luck";"d) insufficient time for testing";2;
97;"What is the main reason for testing software before releasing it?";"a) to show that system will work after release";"b) to decide when the software is of sufficient quality to release";"c) to find as many bugs as possible before release ";"d) to give information for a risk based decision about release";4;
98;"which of the following statements is not true";"a) performance testing can be done during unit testing as well as during the testing of whole system";"b) The acceptance test does not necessarily include a regression test";"c) Verification  activities should not involve testers (reviews, inspections etc)";"d) Test environments should be as similar to production environments as possible";3;
99;"When reporting faults found to developers, testers should be:";"a) as polite, constructive and helpful as possible  ";"b) firm about insisting that a bug is not a ﾓfeatureﾔ if it should be fixed";"c) diplomatic, sensitive to the way they may react to criticism";"d) All of the above";4;
100;"In which order should tests be run?";"a) the most important tests first";"b) the most difficult tests first(to allow maximum time for fixing)";"c) the easiest tests first(to give initial confidence)";"d) the order they are thought of";1;
101;"The later in the development life cycle a fault is discovered, the more expensive it is to fix. why?";"a) the documentation is poor, so it takes longer to find out what the software is doing.";"b) wages are rising";"c) the  fault has been built into more documentation,code,tests, etc";"d) none of the above";3;
102;"Which is not true-The black box tester";"a) should be able to understand a functional specification or requirements document";"b) should be able to understand the source code.";"c) is highly motivated to find faults";"d) is creative to find the systemﾒs weaknesses";2;
103;"A test design technique is";"a) a process for selecting test cases";"b) a process for determining expected outputs";"c) a way to measure the quality of software";"d) a way to measure in a test plan what has to be done";1;
104;"Testware(test cases, test dataset)";"a) needs configuration management just like requirements, design and code";"b) should be newly constructed for each new version of the software";"c) is needed only until the software is released into production or use";"d) does not need to be documented and commented, as it does not form part of the released software system
";1;
105;"An incident logging system ";"a) only records defects";"b) is of limited value";"c) is a valuable source of project information during testing if it contains all incidents";"d) should be used only by the test team.";3;
106;"Increasing the quality of the software, by better development methods, will affect the time needed for testing (the test phases) by:";"a) reducing test time";"b) no change";"c) increasing test time";"d) canﾒt say";1;
107;"Coverage measurement";"a) is nothing to do with testing";"b) is a partial measure of test thoroughness";"c) branch coverage should be mandatory for all software";"d) can only be applied at unit or module testing, not at system testing";2;
108;"When should you stop testing?";"a) when time for testing has run out.";"b) when all planned tests have been run";"c) when the test completion criteria have been met";"d) when no faults have been found by the tests run";3;
109;"Which of the following is true?";"a) Component testing should be black box, system testing should be white box.";"b) if u find a lot of bugs in testing, you should not be very confident about the quality of software";"c) the fewer bugs you find,the better your testing was";"d) the more tests you run, the more bugs you will find.";2;
110;"What is the important criterion in deciding what testing technique to use?";"a)  how well you know a particular technique";"b) the objective of the test";"c) how appropriate the technique is for testing the application";"d) whether there is a tool to support the technique";2;
111;"If the pseudocode below were a programming language ,how many tests are required to achieve 100% statement coverage?

1. If x=3 then
2.                Display_messageX;
3.                 If y=2 then
4.                             Display_messageY;
5.                  Else
6.                              Display_messageZ;
7. Else
8.                Display_messageZ;       
";"a) 1";"b) 2";"c) 3";"d) 4";3;
112;"Using the following code example:
1. If x=3 then
2.                Display_messageX;
3.                 If y=2 then
4.                             Display_messageY;
5.                  Else
6.                              Display_messageZ;
7. Else
8.                Display_messageZ;     

how many  tests are required to achieve 100% branch/decision coverage?";"a) 1";"b) 2";"c) 3";"d) 4";3;
113;"Which of the following is NOT a type of non-functional test?";"a) State-Transition";"b) Usability";"c) Performance";"d) Security";1;
114;"Which of the following  tools would you use to detect a memory leak?";"a) State analysis";"b) Coverage analysis";"c) Dynamic analysis";"d) Memory analysis";3;
115;"Which  of the following is NOT a standard related to testing?";"a)  IEEE829";"b)  IEEE610";"c)  BS7925-1";"d)  BS7925-2";2;
116;"Which of the following is the component test standard?";"a) IEEE 829";"b) IEEE 610";"c) BS7925-1";"d) BS7925-2";4;
117;"which of the following statements are true?";"a) Faults in program specifications are the most expensive to fix.";"b) Faults in code are the most expensive to fix.";"c) Faults in requirements are the most expensive to fix";"d) Faults in designs are the most expensive to fix.";3;
118;"Which of the following is not the integration strategy?";"a) Design based";"b) Big-bang";"c) Bottom-up";"d) Top-down";1;
119;"Which of the following is a black box design technique?";"a) statement testing";"b) equivalence partitioning";"c) error- guessing";"d) usability testing";2;
120;"A program with high cyclometic complexity  is almost likely to be:";"a) Large";"b) Small";"c) Difficult to write";"d) Difficult to test";4;
121;"Which of the following is a static test?";"a) code inspection";"b) coverage analysis";"c) usability assessment";"d) installation test";1;
122;"Which of the following is the odd one out?";"a) white box";"b) glass box";"c) structural";"d) functional";4;
123;"A program validates a numeric field as follows:

 values less than 10 are rejected, values between 10 and 21 are accepted, values greater than or equal to 22 are rejected

 which of the following input values cover all of the equivalence partitions?";"a) 10,11,21";"b)   3,20,21";"c)   3,10,22";"d) 10,21,22";3;
124;"A program validates a numeric field as follows:

 values less than 10 are rejected, values between 10 and 21 are accepted, values greater than or equal to 22 are rejected

Which of the following covers the MOST boundary values?";"a) 9,10,11,22";"b) 9,10,21,22";"c) 10,11,21,22";"d) 10,11,20,21";2;
125;"One of the roles in a review is that of moderator, which of the following best
describes this role?
";"a) Plans the review, runs the review meeting and ensures that follow-up activities are completed.";"b) Allocates time in the plan, decides which reviews will take place and that the benefits are delivered.
";"c) Writes the document to be reviewed, agrees that the document can be reviewed, and updates the document with any changes. ";"d) Documents all issues raised in the review meeting, records problems and open points.";1;
126;"Which of the following statements are correct for walkthroughs?

(i) Often led by the author.
(ii) Documented and defined results.
(iii) All participants have defined roles.
(iv) Used to aid learning.
(v) Main purpose is to find defects.
";"a) (i) and (v) are correct.";"b) (ii) and (iii) are correct.";"c) (i) and (iv) are correct.";"d) (iii) and (iv) are correct.";3;
127;"What do static analysis tools analyse?";"a) Design";"b) Test cases";"c) Requirements";"d) Program code";4;
128;"Which of the following is most likely to be a benefit of using static techniques?";"a) Fewer performance defects.";"b) Productivity improvements in the development process. ";"c) More efficient regression testing.";"d) Quick return on investment in static analysis tools.";2;
129;"Which of the following has the typical formal review activities in the correct
sequence?
";"a) Kick-off, review meeting, planning, follow-up.";"b) Kick-off, planning, review meeting, re-work.";"c) Planning, kick-off, individual preparation, review meeting.";"d) Planning, individual preparation, follow-up, re-work.";3;
130;"Which of the following statements are true?

(i) Defects are likely to be found earlier in the development process by using
reviews rather than static analysis.
(ii) Walkthroughs require code but static analysis does not require code.
(iii) Informal reviews can be performed on code and specifications.
(iv) Dynamic techniques are generally used before static techniques.
(v) Dynamic techniques can only be used after code is ready to be executed.
";"a) (i), (ii), (iv).";"b) (ii), (iii), (v).";"c) (i), (iv), (v).";"d) (i), (iii), (v).";4;
131;"Which of the following are static techniques?";"a) Walkthrough.";"b) State transition testing.";"c) Decision table testing.";"d) Statement testing.";1;
132;"Which one of the following roles is typically used in a review?";"a) Champion.";"b) Author.";"c) Project sponsor.";"d) Custodian.";2;
133;"Which of the following is most likely to be performed by developers?";"a) Technical review of a functional specification.";"b) Walkthrough of a requirements document.";"c) Informal review of a program specification.";"d) Static analysis of a software model.";4;
134;"Static analysis is best described as:";"a) the analysis of batch programs.";"b) the reviewing of test plans.";"c) the analysis of program code.";"d) the use of black box testing.";3;
135;"Which of the following statements about reviews is true?";"a) Reviews cannot be performed on user requirements specifications.";"b) Reviews are the least effective way of testing code.";"c) Reviews are unlikely to find faults in test plans.";"d) Reviews should be performed on specifications, code, and test plans.";4;
136;"What is the main difference between a walkthrough and an inspection?";"a) An inspection is lead by the author, whilst a walkthrough is lead by a trained moderator.";"b) An inspection has a trained leader, whilst a walkthrough has no leader.";"c) Authors are not present during inspections, whilst they are during walkthroughs.";"d) A walkthrough is lead by the author, whilst an inspection is lead by a trained moderator.";4;
137;"An important benefit of code inspections is that they:";"a) enable the code to be tested before the execution environment is ready.";"b) can be performed by the person who wrote the code.";"c) can be performed by inexperienced staff.";"d) are cheap to perform.";1;
138;"What can static analysis NOT find?";"a) the use of a variable before it has been defined.";"b) unreachable (ﾓdeadﾔ) code.";"c) memory leaks.";"d) array bound violations.";3;
139;"Which of the following statements is NOT true?";"a) inspection is the most formal review process";"b) inspections should be led by a trained leader";"c) managers can perform inspections on management documents";"d) inspection is appropriate even when there are no written documents ";4;
140;"What type of review requires formal entry and exit criteria, including metrics?";"a) walkthrough";"b) inspection";"c) management review";"d) post project review";2;
141;"Which expression best matches the following characteristics of the review processes:

1. led by the author
2. undocumented
3. no management participation
4. led by a moderator or leader
5. uses entry and exit criteria

s) inspection
t) peer review
u)informal review
v) walkthrough
";"a) s = 4 and 5, t = 3, u = 2, v = 1 ";"b) s = 4, t = 3, u = 2 and 5, v = 1";"c) s = 1 and 5, t = 3, u = 2, v = 4";"d) s = 4 and 5, t = 1, u= 2, v = 3";1;
142;"Could reviews or inspections be considered part of testing?";"a) no, because they apply to development documentation";"b) no, because they are normally applied before testing";"c) yes, because both help detect faults and improve quality ";"d) yes, because testing includes all non-constructive activities";3;
143;"Which of the following is a static test?";"a) code inspection";"b) coverage analysis";"c) usability assessment";"d) installation test";1;
